sector_id,sector_name,sector_type,parent_sector,stock_ids
aerospace_s001,航太週邊:航空零組件,finlab_sub,aerospace,"1584,4541,5009,6829"
ai_sysint,人工智慧:系統整合,finlab_sub,ai,"2308,2453,2471,2480,2495,3029,3128,3632,4585,4953,5209,5351,5371,5474,6112,6140,6163,6412,6614,6658,6689,6697,6739,6752,6811,6865,6870,6910,6925,6997,7547,7714,7747,8099,8374"
ai_solutions,人工智慧:領域解決方案,finlab_sub,ai,"2308,2352,2388,2453,2498,3297,4953,5203,5209,5351,5371,6112,6163,6412,6516,6614,6689,6739,6741,6752,6791,6811,6841,6865,6870,6910,6925,6997,7547,7714,7747,7822,8099"
ai_ml,人工智慧:機器學習,finlab_sub,ai,"2308,2388,2498,3029,3227,4585,4952,5209,5236,5474,6112,6163,6277,6412,6614,6658,6689,6695,6741,6752,6865,6870,6910,6925,6997,7547,7714,7822,8099,8374"
ai_cloudplat,人工智慧:雲端平台,finlab_sub,ai,"2480,2495,2498,3029,5209,6112,6263,6412,6614,6689,6741,6752,6811,6865,6870,6906,6910,6925,6997,7547,7714,7747,8099"
ai_cv,人工智慧:電腦視覺,finlab_sub,ai,"2308,2388,3227,3632,3669,4585,4952,5209,5236,5351,6112,6163,6412,6614,6658,6695,6752,6865,6997,7822,8374"
ai_dataproc,人工智慧:資料處理,finlab_sub,ai,"2480,2498,5209,6112,6163,6412,6658,6689,6697,6741,6752,6811,6865,6870,6906,6910,6925,6997,7547,7714,8099"
ai_smartdev,人工智慧:智慧設備,finlab_sub,ai,"2308,2357,3297,3455,4585,5209,6163,6263,6412,6658,6680,6739,6741,6752,6865,6870,6877,6997,7822,8374"
ai_consult,人工智慧:顧問諮詢,finlab_sub,ai,"2308,2480,3029,5209,6112,6412,6614,6689,6697,6739,6741,6752,6811,6865,6870,6910,6925,6997,7547,7714"
ai_compute,人工智慧:運算設備,finlab_sub,ai,"2308,2480,2495,3029,3706,5209,6112,6140,6412,6669,6680,6752,6865,6910,8099"
ai_nlp,人工智慧:自然語言處理,finlab_sub,ai,"5209,6112,6277,6614,6741,6752,6865,6870,6910,6925,6997,7547,7714,8099"
ai_mobility,人工智慧:移動控制,finlab_sub,ai,"1504,2357,3227,5209,6752,6865,6997,8374"
auto_s001,汽車:其他,finlab_sub,auto,"1338,1503,1506,1512,1525,1533,1536,1568,1587,1785,2228,2235,2239,2241,2248,2301,2308,2459,2497,3128,3162,3226,3227,3290,3310,3311,3552,3679,3706,4551,4554,4590,4976,5356,6283,6605,6722,7718,7744,7788,7821,8107,9942,9951"
auto_s002,汽車:車燈,finlab_sub,auto,"1521,1522,1538,2241,2248,2254,2301,2459,3226,3437,3685,5230,6605"
auto_s003,汽車:銷售、進出口業務,finlab_sub,auto,"2204,2206,2207,2227,2241,2247,2301,3609"
auto_s004,汽車:整車組裝、修理及技術服務,finlab_sub,auto,"2201,2204,2206,2227,2231,2241"
auto_s005,汽車:保險桿,finlab_sub,auto,"1319,1339,2239,2241,2248"
auto_s006,汽車:鈑金,finlab_sub,auto,"1319,1524,2241,2248,3685"
auto_s007,汽車:輪胎,finlab_sub,auto,"2101,2102,2106,2241,2248"
auto_s008,汽車:鋁合金鋼圈,finlab_sub,auto,"1563,2241,2248,4502"
auto_s009,汽車:引擎蓋,finlab_sub,auto,"1319,2241,2248"
auto_adas,汽車:ADAS,finlab_sub,auto,"2401,2436,3227"
auto_s011,汽車:汽車零配件生產,finlab_sub,auto,"2241,2248"
automation_s001,自動化:工業型機器人,finlab_sub,automation,2049
automation_s002,自動化:自動化機台,finlab_sub,automation,7709
bigdata_sysint,大數據:系統整合,finlab_sub,bigdata,"2308,2352,2390,2453,2471,2480,2495,3029,3057,4160,4953,5209,6112,6148,6183,6218,6614,6658,6689,6739,6741,6811,6865,6870,6910,6925,6997,7547,8099"
bigdata_s002,大數據:應用軟體,finlab_sub,bigdata,"2352,2390,2453,2480,3029,3057,4160,5209,6112,6183,6218,6263,6561,6614,6658,6689,6739,6741,6811,6865,6870,6906,6910,6925,6997,7547,7747,7822,8099"
